Rank,Title,Score,Episodes,Airing,Link
134,Summertime Render,8.46,TV (25 eps),Apr 2022 - Sep 2022,https://myanimelist.net/anime/47194/Summertime_Render
135,Mo Dao Zu Shi: Xian Yun Pian,8.45,ONA (8 eps),Aug 2019 - Sep 2019,https://myanimelist.net/anime/38450/Mo_Dao_Zu_Shi__Xian_Yun_Pian
136,Owarimonogatari,8.45,TV (12 eps),Oct 2015 - Dec 2015,https://myanimelist.net/anime/31181/Owarimonogatari
137,Saenai Heroine no Sodatekata Fine,8.45,Movie (1 eps),Oct 2019 - Oct 2019,https://myanimelist.net/anime/36885/Saenai_Heroine_no_Sodatekata_Fine
138,Yuu☆Yuu☆Hakusho,8.45,TV (112 eps),Oct 1992 - Jan 1995,https://myanimelist.net/anime/392/Yuu☆Yuu☆Hakusho
139,Golden Kamuy 3rd Season,8.45,TV (12 eps),Oct 2020 - Dec 2020,https://myanimelist.net/anime/40059/Golden_Kamuy_3rd_Season
140,Haikyuu!!,8.45,TV (25 eps),Apr 2014 - Sep 2014,https://myanimelist.net/anime/20583/Haikyuu
141,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,8.44,TV (24 eps),Jan 2015 - Jun 2015,https://myanimelist.net/anime/26055/JoJo_no_Kimyou_na_Bouken_Part_3__Stardust_Crusaders_2nd_Season
142,Josee to Tora to Sakana-tachi,8.44,Movie (1 eps),Dec 2020 - Dec 2020,https://myanimelist.net/anime/40787/Josee_to_Tora_to_Sakana-tachi
143,Mushishi Zoku Shou: Odoro no Michi,8.44,Special (1 eps),Aug 2014 - Aug 2014,https://myanimelist.net/anime/24687/Mushishi_Zoku_Shou__Odoro_no_Michi
144,Vivy: Fluorite Eye's Song,8.44,TV (13 eps),Apr 2021 - Jun 2021,https://myanimelist.net/anime/46095/Vivy__Fluorite_Eyes_Song
145,Wu Liuqi Zhi Xuanwu Guo Pian,8.44,ONA (10 eps),Jan 2021 - May 2021,https://myanimelist.net/anime/45556/Wu_Liuqi_Zhi_Xuanwu_Guo_Pian
146,Mononoke,8.43,TV (12 eps),Jul 2007 - Sep 2007,https://myanimelist.net/anime/2246/Mononoke
147,Saiki Kusuo no Ψ-nan,8.43,TV (120 eps),Jul 2016 - Dec 2016,https://myanimelist.net/anime/33255/Saiki_Kusuo_no_Ψ-nan
148,Saiki Kusuo no Ψ-nan 2,8.43,TV (24 eps),Jan 2018 - Jun 2018,https://myanimelist.net/anime/34612/Saiki_Kusuo_no_Ψ-nan_2
149,Gintama: Yorinuki Gintama-san on Theater 2D,8.43,Movie (2 eps),Aug 2012 - Aug 2012,https://myanimelist.net/anime/21899/Gintama__Yorinuki_Gintama-san_on_Theater_2D
150,Grand Blue,8.43,TV (12 eps),Jul 2018 - Sep 2018,https://myanimelist.net/anime/37105/Grand_Blue
151,Kono Oto Tomare! Part 2,8.43,TV (13 eps),Oct 2019 - Dec 2019,https://myanimelist.net/anime/38889/Kono_Oto_Tomare_Part_2
152,Koukaku Kidoutai: Stand Alone Complex,8.43,TV (26 eps),Oct 2002 - Oct 2003,https://myanimelist.net/anime/467/Koukaku_Kidoutai__Stand_Alone_Complex
153,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,8.41,TV (12 eps),Jan 2019 - Mar 2019,https://myanimelist.net/anime/37999/Kaguya-sama_wa_Kokurasetai__Tensai-tachi_no_Renai_Zunousen
154,Kara no Kyoukai Movie 7: Satsujin Kousatsu (Go),8.41,Movie (1 eps),Aug 2009 - Aug 2009,https://myanimelist.net/anime/5205/Kara_no_Kyoukai_Movie_7__Satsujin_Kousatsu_Go
155,Major S5,8.41,TV (25 eps),Jan 2009 - Jun 2009,https://myanimelist.net/anime/5028/Major_S5
156,Natsume Yuujinchou Movie: Utsusemi ni Musubu,8.41,Movie (1 eps),Sep 2018 - Sep 2018,https://myanimelist.net/anime/36538/Natsume_Yuujinchou_Movie__Utsusemi_ni_Musubu
157,Sayonara no Asa ni Yakusoku no Hana wo Kazarou,8.41,Movie (1 eps),Feb 2018 - Feb 2018,https://myanimelist.net/anime/35851/Sayonara_no_Asa_ni_Yakusoku_no_Hana_wo_Kazarou
158,Shingeki no Kyojin: Kuinaki Sentaku,8.41,OVA (2 eps),Dec 2014 - Apr 2015,https://myanimelist.net/anime/25781/Shingeki_no_Kyojin__Kuinaki_Sentaku
159,Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou,8.41,Movie (1 eps),Sep 2019 - Sep 2019,https://myanimelist.net/anime/39741/Violet_Evergarden_Gaiden__Eien_to_Jidou_Shuki_Ningyou
160,Non Non Biyori Nonstop,8.40,TV (12 eps),Jan 2021 - Mar 2021,https://myanimelist.net/anime/39808/Non_Non_Biyori_Nonstop
161,Tensei shitara Slime Datta Ken 2nd Season,8.40,TV (12 eps),Jan 2021 - Mar 2021,https://myanimelist.net/anime/39551/Tensei_shitara_Slime_Datta_Ken_2nd_Season
162,Tian Guan Ci Fu,8.40,ONA (11 eps),Oct 2020 - Jan 2021,https://myanimelist.net/anime/40730/Tian_Guan_Ci_Fu
163,Yoru ni Kakeru,8.40,Music (1 eps),Nov 2019 - Nov 2019,https://myanimelist.net/anime/48653/Yoru_ni_Kakeru
164,Dr. Stone: Ryuusui,8.40,Special (1 eps),Jul 2022 - Jul 2022,https://myanimelist.net/anime/50612/Dr_Stone__Ryuusui
165,Gintama°: Aizome Kaori-hen,8.40,OVA (2 eps),Aug 2016 - Nov 2016,https://myanimelist.net/anime/32366/Gintama°__Aizome_Kaori-hen
166,Houseki no Kuni,8.40,TV (12 eps),Oct 2017 - Dec 2017,https://myanimelist.net/anime/35557/Houseki_no_Kuni
167,Hunter x Hunter,8.40,TV (62 eps),Oct 1999 - Mar 2001,https://myanimelist.net/anime/136/Hunter_x_Hunter
168,Kaze ga Tsuyoku Fuiteiru,8.40,TV (23 eps),Oct 2018 - Mar 2019,https://myanimelist.net/anime/37965/Kaze_ga_Tsuyoku_Fuiteiru
169,3-gatsu no Lion,8.39,TV (22 eps),Oct 2016 - Mar 2017,https://myanimelist.net/anime/31646/3-gatsu_no_Lion
170,Barakamon,8.39,TV (12 eps),Jul 2014 - Sep 2014,https://myanimelist.net/anime/22789/Barakamon
